French,English
heures,time
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,square
tué,kill
type,kind
main,hand
pardon,sorry
ensemble,whole
seulement,only
guerre,war
beau,handsome
vers,toward
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,after
compris,understood
matin,morning
leurs,their
aucun,no
arrivé,come
dessus,above
chérie,dear
mettre,put
aide,aid
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,gender
aimerais,would like to
droit,straight
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,room
gros,wholesale
côté,side
venu,came
loin,far
laisser,to leave 
donner,to give
jouer,player
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,able
aura,will have
mourir,to die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,film
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,madam
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,outside
filles,girls
cause,cause
vivre,live
près,near
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,that's why I wrote to you
demandé,asked
possible,possible
mains,hands
ainsi,thus
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,walk
tour,round
école,school
manger,eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,trial
envie,urge
bientôt,soon
instant,instant
dernier,latest
affaires,business
arriver,arrive
demander,ask
meilleur,better
font,make
derrière,rear
c,vs
dollars,dollars
presque,almost
dr,drudgery
tellement,such
tomber,fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,office
confiance,trust
garde,guard
attendre,wait
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will do
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,must
suffit,suffice
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog
jeu,Game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like to
heureux,happy
prenez,take
mariage,marriage
voit,sees
parents,parents
lls,LLS
dedans,inside
entrer,walk in
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,have
musique,music
arrêtez,stop
autant,so much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,phone
retour,return
ira,IRA
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,I
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,aime
ci,this
ferai,do
président,President
doute,doubt
facile,easy
entends,mean
payer,pay
appelé,called
prison,prison
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,Wrong
chéri,Dear
oublié,forgot
bras,arm
i,I
gentil,kind
faute,mistake
équipe,team 
exactement,exactly
cœur,heart
penser,to think
changer,switch
commence,begin
lieu,place
entendre,hear
ies,IES
roi,King
plan,plan
partout,everywhere
joue,cheek
cher,dear
morts,dead
rendre,return
écrit,writing
travailler,to work
malade,sick
sinon,otherwise
génial,awesome
regarder,watch
veulent,want
montrer,to show
rentre,returns
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,to drink
sécurité,security
dès,from
esprit,mind
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,dish
propre,own
soyez,be
jack,jack
essayer,try
faisait,made
tôt,early
surtout,above all
arme,armed
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thoughts
parles,parlets
paix,peace
livre,book
dormir,to sleep
voyons,Let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,topic
appris,learned
ensuite,then
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,Were you
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,photo
rue,street
tirer,shoot
comprendre,to understand
face,face
semaines,weeks
marché,market
questions,issues
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,way
grave,severe
gauche,left
petits,small
courant,fluent
amie,friend
nouvelles,news
avion,airplane
con,con
content,happy
force,strength
millions,millions
oublie,forget
devoir,to have to
prochaine,next
prix,price
propos,about
bateau,ship
bouge,move
voix,voice
rouge,red
restez,STAY
celle,that
pouvais,could
personnes,people
ferais,make
début,start
espèce,species
gueule,mouth
acheter,to buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,j
voyage,travel
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,silly
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,opened
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,went
occupe,to keep busy
devait,be
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,to win
laissez,let
erreur,error
cru,believed
pars,pars
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,to learn
commencé,start
sauver,save
seconde,second
pensez,think
allô,hi
ailleurs,somewhere else
agent,agent
froid,cold
seras,be
pied,foot
jolie,pretty one
revenir,to come back
scène,stage
pieds,feet
n,not
devons,must
groupe,band
carte,menu
aurai,will have
effet,effect
neuf,nine
fallait,fell
monte,mounted
battre,to beat
noël,christmas
venue,come
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,incredible
tue,kill
joli,nice
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,george
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,auras
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,gorgeous
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,success
frank,frank
rencontrer,to meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,begin
terminé,finished
agit,act
blanc,White
sœur,sister
pareil,the same
charlie,Charlie
chaud,warm
finir,to finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,anniversary
déjeuner,to eat lunch
disais,ray
bord,edge
tom,tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,to walk
disait,said
mauvaise,nad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,have to
midi,noon
lire,read
moyen,medium
ferait,would do
commandant,commanding officer
vraie,true
sept,seven
forme,shape
tombe,grave
silence,silence
sortez,go out
connaître,to know
puisse,can
cadeau,present
flics,flickers
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,b
su,su
porter,to carry
télé,TV
vivant,alive
jure,sworn
disent,say
mr,mr
serez,will be
devriez,should
devenu,became
aimé,love
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,to explain
arrivée,arrival
monter,ascend
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,faded away
tenir,hold
simplement,simply
quitter,leave
envoie,send
paul,paul
aimer,to like
voie,way
paris,Paris
classe,classroom
huit,eight
offre,offer
poste,post
dangereux,dangerous
attaque,offensive
impression,impression
folle,crazy
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,to follow
aille,shake
oublier,forget
peuple,people
baiser,kiss
rencontré,meet
honte,shame
connard,asshole
trou,hole
retourner,to return to
chanson,song
change,exchange
arrêté,stopped
enfer,hell 
écrire,write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,make
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,cheek
triste,sad
sud,south
lu,read
tel,Phone
merveilleux,wonderful
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,trouble
volé,Fly
sortie,exit
devais,guess
combat,fight
bouche,blocked
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,yet
plusieurs,many
rire,laugh
but,goal
sergent,sergeant
public,audience
